title,location,buyer_details,specifications,source_url
Hydraulic Hose Pipe Crimping Machine,3 mins ago,{'member_since': '6+ years'},"{'Automatic Grade': 'Automatic', 'Machine Structure': 'Horizontal', 'Additional Requirements': 'Pollution Check Equipment', 'Probable Requirement Type': 'Business Use'}",https://trade.indiamart.com/offer/plant-machinery/?page=1
Printer Head,5 mins ago,{'member_since': '3+ years'},"{'Quantity': '10 piece', 'Print Head Type': 'Large Format', 'Probable Order Value🛈': 'Rs. 50,000 - 68,000', 'Probable Requirement Type': 'Business Use'}",https://trade.indiamart.com/offer/plant-machinery/?page=1
LG Ma88 Refrigerator Compressor,7 mins ago,{'member_since': '8+ years'},"{'Quantity': '1 Piece', 'Model No': 'Ma 88 lg', 'Probable Order Value🛈': 'Rs. 4,400 - 5,000', 'Probable Requirement Type': 'Business Use'}",https://trade.indiamart.com/offer/plant-machinery/?page=1
Stainless Steel Tube Expander,11 mins ago,{'member_since': '3+ years'},"{'Quantity': '2 piece', 'Material': 'Stainless Steel', 'Material Grade': 'Ss303', 'Probable Requirement Type': 'Business Use'}",https://trade.indiamart.com/offer/plant-machinery/?page=1
Aluminium Tilting Rotary Furnaces,22 mins ago,{'member_since': '10+ years'},"{'Quantity': '1 Piece', 'Melting Material': 'Aluminium', 'Power Source': 'Gas', 'Probable Requirement Type': 'Business Use'}",https://trade.indiamart.com/offer/plant-machinery/?page=1
Paper Roll Pallet Truck,45 mins ago,{'member_since': '6+ years'},"{'Quantity': '1 Piece', 'Capacity(kg)': '1000 Kg', 'Probable Order Value🛈': 'Rs. 22,000 - 40,000', 'Probable Requirement Type': 'Business Use'}",https://trade.indiamart.com/offer/plant-machinery/?page=1
Table Press Electric Steam Boiler Full Set Semi Automatic,59 mins ago,{'member_since': '5+ years'},"{'Boiler Capacity': 'More than 1000 kg/hr', 'Power': '12 kW', 'Certification': 'IBR Approved', 'Buyer Filled Details': '50 kg/hr', 'Probable Requirement Type': 'Business Use'}",https://trade.indiamart.com/offer/plant-machinery/?page=1
Sany Sr155 Piling Rig,1 hr ago,{'member_since': '15+ years'},"{'Maximum Piling Depth': 'upto 20 m', 'Maximum Piling Diameter': '1000 mm', 'Condition': 'Rental', 'Probable Requirement Type': 'Business Use'}",https://trade.indiamart.com/offer/plant-machinery/?page=1
Hydrotron - Softens Hard Water,1 hr ago,{'member_since': '1 month'},"{'Quantity': '2 Piece', 'Material': 'Stainless Steel', 'Type of Requirement': 'Sample Only', 'Probable Requirement Type': 'Business Use'}",https://trade.indiamart.com/offer/plant-machinery/?page=1
Heat Transfer Composite Wall,1 hr ago,{'member_since': '12+ years'},"{'Quantity': '1 Piece', 'Application': 'Lab', 'Probable Order Value🛈': 'Rs. 20,000 to 50,000', 'Probable Requirement Type': 'Business Use'}",https://trade.indiamart.com/offer/plant-machinery/?page=1
